id	url	match_date_title	team_1	team_2	total_score	shoots_in_target_1	shoots_in_target_2	falls_1	falls_2	corners_1	corners_2	off_side_1	off_side_2	possession_1	possession_2	free_kicks_1	free_kicks_2	shots_from_gate_1	shots_from_gate_2	blocked_shots_1	blocked_shots_2	outs_1	outs_2	yellow_cards_1	yellow_cards_2	red_cards_1	red_cards_2
1102863	https://www.championat.com/football/_england/tournament/5467/match/1102863/	31 марта 2024, воскресенье. 18:30 МСК	Манчестер Сити	Арсенал	0 : 0	12	6	9	20	7	4	2	1	72	28	21	11	3	10	4	2	14	6	0	2	0	0
1103019	https://www.championat.com/football/_england/tournament/5467/match/1103019/	31 января 2024, среда. 22:30 МСК	Манчестер Сити	Бёрнли	3 : 1	14	8	3	13	7	3	3	3	74	26	16	6	4	4	6	2	18	9	2	2	0	0
1103229	https://www.championat.com/football/_england/tournament/5467/match/1103229/	04 ноября 2023, суббота. 18:00 МСК	Манчестер Сити	Борнмут	6 : 1	21	5	8	9	12	1	0	2	68	32	11	8	3	9	8	1	8	6	0	1	0	0
1103369	https://www.championat.com/football/_england/tournament/5467/match/1103369/	02 сентября 2023, суббота. 17:00 МСК	Манчестер Сити	Фулхэм	5 : 1	7	6	12	12	4	5	1	1	64	36	13	13	4	1	1	1	21	14	2	4	0	0
1103331	https://www.championat.com/football/_england/tournament/5467/match/1103331/	23 сентября 2023, суббота. 17:00 МСК	Манчестер Сити	Ноттингем Форест	2 : 0	7	10	5	17	6	6	0	3	67	33	20	5	8	2	2	4	15	14	3	7	1	0
1103405	https://www.championat.com/football/_england/tournament/5467/match/1103405/	19 августа 2023, суббота. 22:00 МСК	Манчестер Сити	Ньюкасл Юнайтед	1 : 0	14	7	12	11	3	0	1	4	60	40	15	13	4	8	7	4	19	12	1	5	0	0
1102823	https://www.championat.com/football/_england/tournament/5467/match/1102823/	03 апреля 2024, среда. 22:15 МСК	Манчестер Сити	Астон Вилла	4 : 1	25	8	6	13	2	3	1	1	69	31	14	7	2	9	7	4	10	6	1	2	0	0
1103185	https://www.championat.com/football/_england/tournament/5467/match/1103185/	25 ноября 2023, суббота. 15:30 МСК	Манчестер Сити	Ливерпуль	1 : 1	16	8	9	11	9	6	3	4	61	39	15	12	3	13	6	3	8	14	1	3	0	0
1102983	https://www.championat.com/football/_england/tournament/5467/match/1102983/	10 февраля 2024, суббота. 15:30 МСК	Манчестер Сити	Эвертон	2 : 0	19	5	6	11	9	0	1	2	73	27	13	7	4	7	11	1	22	16	0	2	0	0
1103085	https://www.championat.com/football/_england/tournament/5467/match/1103085/	20 февраля 2024, вторник. 22:30 МСК	Манчестер Сити	Брентфорд	1 : 0	24	6	12	6	10	1	1	3	70	30	9	13	7	10	4	1	17	10	2	4	0	0
1102913	https://www.championat.com/football/_england/tournament/5467/match/1102913/	03 марта 2024, воскресенье. 18:30 МСК	Манчестер Сити	Манчестер Юнайтед	3 : 1	27	2	5	10	15	2	0	1	74	26	11	5	3	10	11	0	19	6	0	1	0	0
1103117	https://www.championat.com/football/_england/tournament/5467/match/1103117/	16 декабря 2023, суббота. 18:00 МСК	Манчестер Сити	Кристал Пэлас	2 : 2	19	5	12	9	6	1	2	1	74	26	10	14	2	8	5	2	18	14	1	1	0	0
1102953	https://www.championat.com/football/_england/tournament/5467/match/1102953/	17 февраля 2024, суббота. 20:30 МСК	Манчестер Сити	Челси	1 : 1	31	9	7	12	12	1	0	5	71	29	17	7	2	13	14	1	20	10	1	3	0	0
1102721	https://www.championat.com/football/_england/tournament/5467/match/1102721/	04 мая 2024, суббота. 19:30 МСК	Манчестер Сити	Вулверхэмптон	5 : 1	20	2	4	17	6	0	2	2	58	42	19	6	2	7	3	1	15	8	0	4	0	0
1102997	https://www.championat.com/football/_england/tournament/5467/match/1102997/	04 февраля 2024, воскресенье. 19:30 МСК	Арсенал	Ливерпуль	3 : 1	15	10	11	11	2	4	3	1	43	57	12	14	9	7	5	2	20	29	6	3	0	1
1102781	https://www.championat.com/football/_england/tournament/5467/match/1102781/	13 апреля 2024, суббота. 17:00 МСК	Манчестер Сити	Лутон Таун	5 : 1	37	4	7	6	12	1	0	1	74	26	7	7	0	15	10	0	13	11	1	0	0	0
1103269	https://www.championat.com/football/_england/tournament/5467/match/1103269/	21 октября 2023, суббота. 17:00 МСК	Манчестер Сити	Брайтон энд Хоув Альбион	2 : 1	10	5	9	11	2	2	2	1	55	45	12	11	4	7	1	0	13	11	3	2	1	0
1102799	https://www.championat.com/football/_england/tournament/5467/match/1102799/	14 апреля 2024, воскресенье. 18:30 МСК	Арсенал	Астон Вилла	0 : 2	18	11	12	7	4	6	5	1	52	48	8	17	4	14	6	5	14	14	3	1	0	0
1103167	https://www.championat.com/football/_england/tournament/5467/match/1103167/	03 декабря 2023, воскресенье. 19:30 МСК	Манчестер Сити	Тоттенхэм Хотспур	3 : 3	17	8	14	14	10	8	2	2	58	42	16	16	3	10	3	3	19	16	4	4	0	0
1102687	https://www.championat.com/football/_england/tournament/5467/match/1102687/	19 мая 2024, воскресенье. 18:00 МСК	Манчестер Сити	Вест Хэм Юнайтед	3 : 1	29	3	3	12	11	2	3	0	73	27	12	6	0	12	8	1	15	12	0	1	0	0
1102877	https://www.championat.com/football/_england/tournament/5467/match/1102877/	23 апреля 2024, вторник. 22:00 МСК	Арсенал	Челси	5 : 0	27	7	12	11	4	2	3	0	45	55	11	15	4	9	10	2	12	6	2	2	0	0
1102951	https://www.championat.com/football/_england/tournament/5467/match/1102951/	24 февраля 2024, суббота. 23:00 МСК	Арсенал	Ньюкасл Юнайтед	4 : 1	18	3	15	6	9	0	3	2	55	45	8	18	3	8	4	0	16	16	1	0	0	0
1103389	https://www.championat.com/football/_england/tournament/5467/match/1103389/	03 сентября 2023, воскресенье. 18:30 МСК	Арсенал	Манчестер Юнайтед	3 : 1	17	10	8	7	12	3	2	1	50	50	8	10	1	8	8	7	16	14	2	3	0	0
1103391	https://www.championat.com/football/_england/tournament/5467/match/1103391/	26 августа 2023, суббота. 17:00 МСК	Арсенал	Фулхэм	2 : 2	18	10	6	5	8	3	4	1	72	28	6	10	5	9	4	3	19	6	0	5	0	1
1102911	https://www.championat.com/football/_england/tournament/5467/match/1102911/	09 марта 2024, суббота. 20:30 МСК	Арсенал	Брентфорд	2 : 1	17	9	9	10	10	4	1	2	72	28	12	10	3	14	5	3	12	8	2	4	0	0
1102737	https://www.championat.com/football/_england/tournament/5467/match/1102737/	04 мая 2024, суббота. 14:30 МСК	Арсенал	Борнмут	3 : 0	24	7	16	12	6	1	5	0	57	43	12	21	2	10	8	2	17	13	2	3	0	0
1103221	https://www.championat.com/football/_england/tournament/5467/match/1103221/	11 ноября 2023, суббота. 18:00 МСК	Арсенал	Бёрнли	3 : 1	15	8	8	9	13	3	3	2	64	36	11	11	5	5	5	0	12	15	0	1	1	0
1103125	https://www.championat.com/football/_england/tournament/5467/match/1103125/	17 декабря 2023, воскресенье. 17:00 МСК	Арсенал	Брайтон энд Хоув Альбион	2 : 0	25	6	11	9	10	1	1	1	50	50	10	12	3	9	9	2	13	11	1	3	0	0
1103435	https://www.championat.com/football/_england/tournament/5467/match/1103435/	12 августа 2023, суббота. 15:00 МСК	Арсенал	Ноттингем Форест	2 : 1	15	6	12	12	8	3	2	1	82	18	13	14	6	5	5	1	19	9	2	2	0	0
1103081	https://www.championat.com/football/_england/tournament/5467/match/1103081/	28 декабря 2023, четверг. 23:15 МСК	Арсенал	Вест Хэм Юнайтед	0 : 2	29	8	8	8	10	3	0	1	74	26	9	8	6	16	10	2	10	17	2	0	0	0
1102699	https://www.championat.com/football/_england/tournament/5467/match/1102699/	19 мая 2024, воскресенье. 18:00 МСК	Арсенал	Эвертон	2 : 1	25	5	8	11	8	1	1	4	69	31	15	9	2	10	10	1	16	17	4	3	0	0
1103195	https://www.championat.com/football/_england/tournament/5467/match/1103195/	02 декабря 2023, суббота. 18:00 МСК	Арсенал	Вулверхэмптон	2 : 1	19	6	10	10	4	0	3	0	56	44	10	13	5	10	5	0	14	12	1	2	0	0
1103347	https://www.championat.com/football/_england/tournament/5467/match/1103347/	24 сентября 2023, воскресенье. 16:00 МСК	Арсенал	Тоттенхэм Хотспур	2 : 2	13	13	12	19	11	4	2	3	43	57	22	14	2	12	4	4	17	17	3	4	0	0
1102839	https://www.championat.com/football/_england/tournament/5467/match/1102839/	03 апреля 2024, среда. 21:30 МСК	Арсенал	Лутон Таун	2 : 0	13	5	12	8	3	1	1	1	58	42	9	13	6	7	8	1	14	17	1	1	0	0
1103057	https://www.championat.com/football/_england/tournament/5467/match/1103057/	01 января 2024, понедельник. 23:00 МСК	Ливерпуль	Ньюкасл Юнайтед	4 : 2	38	5	16	15	7	3	1	3	63	37	18	17	4	8	15	1	16	15	3	5	0	0
1103113	https://www.championat.com/football/_england/tournament/5467/match/1103113/	17 декабря 2023, воскресенье. 19:30 МСК	Ливерпуль	Манчестер Юнайтед	0 : 0	34	6	13	8	12	0	4	2	69	31	10	17	3	19	13	1	35	19	2	5	0	1
1103043	https://www.championat.com/football/_england/tournament/5467/match/1103043/	20 января 2024, суббота. 15:30 МСК	Арсенал	Кристал Пэлас	5 : 0	21	12	8	12	6	7	5	2	61	39	14	13	5	9	7	3	12	12	0	0	0	0
1103169	https://www.championat.com/football/_england/tournament/5467/match/1103169/	03 декабря 2023, воскресенье. 17:00 МСК	Ливерпуль	Фулхэм	4 : 3	26	9	6	7	3	4	5	1	63	37	8	11	4	10	6	3	26	20	0	0	0	0
1103411	https://www.championat.com/football/_england/tournament/5467/match/1103411/	19 августа 2023, суббота. 17:00 МСК	Ливерпуль	Борнмут	3 : 1	26	13	11	13	10	2	1	3	65	35	16	12	10	10	8	1	19	21	1	3	1	0
1103097	https://www.championat.com/football/_england/tournament/5467/match/1103097/	23 декабря 2023, суббота. 20:30 МСК	Ливерпуль	Арсенал	1 : 1	13	13	13	14	4	5	1	1	51	49	15	14	6	7	4	5	25	17	2	5	0	0
1102999	https://www.championat.com/football/_england/tournament/5467/match/1102999/	31 января 2024, среда. 23:15 МСК	Ливерпуль	Челси	4 : 1	28	4	15	16	8	1	3	3	51	49	19	18	2	8	9	0	10	11	2	4	0	0
